sample1,sample2,corr_coeff,abs_corr_coeff
MO3,MO11,-0.9660698717118273,0.9660698717118273
MO4,MO6,-0.9640512073219167,0.9640512073219167
MO3,MO4,0.9263172909008761,0.9263172909008761
MO3,MO6,-0.9076591188348064,0.9076591188348064
MO11,MO12,0.8555831563125764,0.8555831563125764
MO4,MO11,-0.8444018554125285,0.8444018554125285
MO6,MO11,0.8414455547075957,0.8414455547075957
MO3,MO12,-0.8185445289228064,0.8185445289228064
MO4,MO12,-0.782850936854639,0.782850936854639
MO4,MO14,-0.7267262100512631,0.7267262100512631
MO6,MO12,0.699677057184749,0.699677057184749
MO3,MO14,-0.5904970608452199,0.5904970608452199
MO6,MO14,0.5388457732411385,0.5388457732411385
MO12,MO14,0.5144885785672608,0.5144885785672608
MO11,MO14,0.44770132596842516,0.44770132596842516
